collection_id,plante_sc,Famille,Genre,Espece,plante_fr,plante_precision,plante_inconnue,plante_caractere,photo_fleur,photo_plante,photo_feuille
13 492,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1494492962683.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1494492962683.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1494492962683.jpg
13 504,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1494512797592.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1494512797592.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1494512797592.jpg
13 517,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1494533826683.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1494533826683.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1494533826683.jpg
13 528,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1494601077213.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1494601077213.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1494601077213.jpg
13 649,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1495203314664.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495203314664.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495203314664.jpg
13 717,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1495539416802.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495539416802.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495539416802.jpg
13 782,Plante inconnue,,,,,,0.0,ne se prononce pas,https://spgp-api.65mo.fr/api/containers/spgp/download/1495750227478.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495750227478.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495750227478.jpg
13 794,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1495908141040.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495908141040.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495908141040.jpg
13 805,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1495962015755.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495962015755.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495962015755.jpg
13 815,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1495987767034.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495987767034.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1495987767034.jpg
13 822,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1496000867153.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496000867153.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496000867153.jpg
13 830,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1496057353370.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496057353370.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496057353370.jpg
13 847,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1496083400403.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496083400403.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496083400403.jpg
13 921,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1496392506207.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496392506207.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496392506207.jpg
13 955,,,,,,,1.0,ne se prononce pas,https://spgp-api.65mo.fr/api/containers/spgp/download/1496527007824.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496527007824.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496527007824.jpg
13 997,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1496771851857.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496771851857.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496771851857.jpg
14 002,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1496779501924.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496779501924.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496779501924.jpg
14 009,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1496816145340.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496816145340.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496816145340.jpg
14 023,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1496853075810.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496853075810.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496853075810.jpg
14 041,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1496955681170.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496955681170.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1496955681170.jpg
14 067,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497037397308.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497037397308.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497037397308.jpg
14 069,Plante inconnue,,,,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497072155694.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497072155694.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497072155694.jpg
14 081,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497103039332.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497103039332.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497103039332.jpg
14 123,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497218244177.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497218244177.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497218244177.jpg
14 143,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497378212294.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497378212294.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497378212294.jpg
14 219,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497631165078.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497631165078.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497631165078.jpg
14 245,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497714729516.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497714729516.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497714729516.jpg
14 253,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1498143809173.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1498143809173.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1498143809173.jpg
14 276,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497804212903.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497804212903.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497804212903.jpg
14 280,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497811478835.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497811478835.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497811478835.jpg
14 291,,,,,,,1.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1498395324365.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1498395324365.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1498395324365.jpg
14 336,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1497951526183.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497951526183.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1497951526183.jpg
14 388,,,,,,,1.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1498110981950.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1498110981950.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1498110981950.jpg
14 419,Plante inconnue,,,,,,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1498216297443.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1498216297443.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1498216297443.jpg
