collection_id,plante_sc,Famille,Genre,Espece,plante_fr,plante_precision,plante_inconnue,plante_caractere,photo_fleur,photo_plante,photo_feuille
8 830,Plante inconnue,Asteraceae,Leucanthemella,Leucanthemella serotina,,Sauge de Jérusalem,0.0,plantée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528229271264.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528229271264.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528229271264.jpg
8 833,Plante inconnue,Asteraceae,Sonchus,Sonchus asper,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528234378378.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528234378378.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528234378378.jpg
8 840,Plante inconnue,Caprifoliaceae,Lonicera,Lonicera sempervirens,,Sedum album (Orpin blanc),0.0,ne se prononce pas,https://spgp-api.65mo.fr/api/containers/spgp/download/1528272422799.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528272422799.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528272422799.jpg
8 841,Plante inconnue,Geraniaceae,Pelargonium,Pelargonium inquinans,,Sedum kamtschaticum,0.0,ne se prononce pas,https://spgp-api.65mo.fr/api/containers/spgp/download/1528275728532.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528275728532.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528275728532.jpg
8 845,Plante inconnue,Brassicaceae,Sisymbrium,Sisymbrium austriacum,,grande cigüe,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528280824025.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528280824025.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528280824025.jpg
8 851,Plante inconnue,Asteraceae,Gaillardia,Gaillardia aristata,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528290304931.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528290304931.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528290304931.jpg
8 854,Plante inconnue,Asteraceae,Taraxacum,Taraxacum palustre,,Lagurus ovatus,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528294125536.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528294125536.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528294125536.jpg
8 860,Plante inconnue,Solanaceae,Atropa,Atropa belladonna,,cornouiller peut-être,0.0,ne se prononce pas,https://spgp-api.65mo.fr/api/containers/spgp/download/1528301279543.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528301279543.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528301279543.jpg
8 865,Plante inconnue,Begoniaceae,Begonia,Begonia x semperflorens,,Achillée millefeuille,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528320109112.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528320109112.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528320109112.jpg
8 866,Plante inconnue,Oxalidaceae,Oxalis,Oxalis articulata,,,0.0,spontanée,https://spgp-api.65mo.fr/api/containers/spgp/download/1528347406991.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528347406991.jpg,https://spgp-api.65mo.fr/api/containers/spgp/download/1528347406991.jpg
