insecte_sc,insecte_fr
Colletidae,Les Collètes (autres)
"Anogcodes, Ischnomera",Les Oedemères variés
Aporia crataegi,Le Gazé
Bombylella atra,Le Bombyle Atra
Isomira et autres,Les Tenebrions marrons
Hemipenthes morio,L'Anthracine morio
Hemaris tityus,Le Sphinx-Bourdon
Stenopterus,Les Sténoptères fauves
"Chrysanthia, Ischnomera",Les Chrysanthies et autres
Tachina grossa,La Tachinaire corpulente
Glaucopsyche alexis,L'Azuré des Cytises
Protaetia,Les Cétoines sombres glabres
Ephemeroptera,Les Ephémères
"Donacia, Plateumaris",Les Chrysomèles allongées des milieux humides
Temnostoma bombylans,La Milésie bourdon
Pachyta et autres,Les Pachytes
Stictoleptura cordigera et autres,Les Longicornes porte-coeur
"Ochlodes, Thymelicus",Les Hespéries fauves
Hamearis lucina,La Lucine
Emmelia trabealis,L'Arlequinette jaune
Paracorymbia fulva et autres,Les Leptures fauves
Eilema,Les Lithosies et Manteaux
Stenurella melanura,La Lepture à suture noire
Trichius,Les Trichies
Siona lineata,La Divisée
Anaglyptus mysticus,Le Clyte mystique
Zygaena,Les Zygènes à taches cerclées
Maniola jurtina,Le Myrtil
"Anogcodes, Oedemera",Les Oedemères fauves (de méditerranée)
Acmaeodera et autres,Les Buprestes à points
Trichodes leucopsideus,Le Clairon commun
Maniola jurtina et autres,Le Myrtil et autres (Méditerranée)
Zygaena lavandulae,La Zygène de la Badasse
Isodontia mexicana,Le Sphégien noir à ailes fumées
Therevidae,Les Thérèves
Megalodontes,Les Megalodontides
Chrysopidae,Les larves de Chrysopes
Cassida,Les Cassides
Sesiidae,Les Sésies
Lycaena dispar,Le Cuivré des marais (mâle)
Thyris fenestrella,Le Sphinx pygmée
Coenonympha,Les Fadets à bande blanche
Agapanthia,Les Agapanthies fauves
Coenonympha arcania,Le Céphale
Glaphyra et autres,Les Molorches et autres
Erebia,Les Moirés à dessous sombre
Megachile,Les Mégachiles à pattes blanches (mâles)
"Adscita, Jordanita",Les Turquoises
Boudinotiana et autres,"L'Intruse, l'Illégitime et la Bréphine"
Sphex et autres,Les Sphégiens noirs
Pyrgus et autres,Les Hespéries brunes à taches (montagne)
Lixus et autres,Les Charançons longs
"Hycleus, Mylabris",Les Mylabres à bandes
Odezia atrata,Le Ramoneur
Pseudopanthera macularia,La Panthère
Cerocoma,Les Cerocomes
Villa,Les Anthracines Villa
Coelioxys et autres,Les Mégachiles coucou
Cerceris,Les Guêpes Cerceris
Megascolia maculata,La Scolie des jardins (femelle)
Zygaena,Les Zygènes rouges
Volucella zonaria,La Volucelle zonée
Brintesia circe,La Silène
Lomatia,Les Lomaties
Melanargia galathea,Le Demi-Deuil
Lycidae,Les Lycides
Cryptocephalus vittatus,Le Cryptocéphale à bandes blanches
Scolia et autres,Les Scolies à taches jaunes (autres)
Melanargia lachesis,L'Echiquier d'Ibérie
Anthaxia nitidula,L'Anthaxie nitidula (femelle)
Plebejus,Les Azurés à taches bleues brillantes
Chrysotoxum bicinctum,Le Chrysotoxe à double ceinture
Agapanthia,Les Agapanthies violacées
Euphydryas aurinia,Le Damier de la Succise
Lasiommata,Le Satyre et autres (montagne)
Noctua fimbriata,La Frangée
plusieurs Tabanidae,Les Taons sombres
Satyrium,Les Théclas marrons (autres)
Delta unguiculatum,L'Eumène unguiculé
Hoplia coerulea,L'Hoplie bleue
Meromyza,Les Chloropides jaunes à fémurs enflés
Blattellidae,Les Blattes
Melitaea diamina,Le Damier noir
Chlorophorus,Le Clyte figuré
Clanoptilus,Les Malachides sombres
Hipparchia et autres,Les Agrestes
Carterocephalus palaemon,L'Hespérie Echiquier
Cteniopus,Les Tenebrions jaunes
Nemotelus,Les Stratiomes blanc et noir
Polyommatus daphnis,L'Azuré de l'Orobe
Andrena florea,L'Andrène des fleurs
Gnorimus nobilis,Le Gnorimus vert
Bembix,Les Guêpes fouisseuses
Andrena albopunctata,L'Andrène à points blancs
Colpa quinquecincta,La Scolie sans taches jaunes
Coptosoma scutellatum,Le Coptosoma
Argynnis paphia,Le Tabac d'Espagne
Aphantopus hyperantus,Le Tristan
Timarcha,Les Craches-sang
Gaurotes virginea,Le Gaurotes vierge
Exoprosopa,Les Anthracines Exoprosopa
Lycaena hippothoe,Le Cuivré écarlate (mâle)
Leptura aurulenta,La Lepture couleur d'or (à antennes jaunes)
Pyronia tithonus,L'Amaryllis
Argynnis aglaja,Le Grand Nacré
Epeolus,Les Abeilles coucou noir et blanc à pattes rouges
Callicera,Les Syrphes aux antennes à bout blanc
Chrysops,Les Taons aux ailes tachetées
Autographa gamma et autres,Le Gamma et autres
Coenonympha dorus,Le Fadet des garrigues
Mylabris et autres,Les Mylabres à points
Araschnia levana,La Carte géographique forme sombre
Stictoleptura rubra,La Lepture rouge (femelle)
Graphosoma semipunctatum,Le Pentatome ponctué
Hypena et autres,Les Noctuelles à museau
Sceliphron caementarium,Le Pélopée à pattes noir et jaune
Miltochrista miniata,La Rosette
Maculinea,Les Azurés des fourmis
Lycaena virgaureae,Le Cuivré de la Verge d'or (mâle)
Pyronia,L'Amaryllis et l'Ocelle de la Canche
"Meria, Myzinum",Les Tiphides
Chlorophorus varius,Le Clyte varié
Laphria,Les Asilides velues
Cacyreus marshalli,Le Brun des Pélargoniums
Thyreus et autres,Les Abeilles coucou noir et blanc
Minois dryas,Le Grand Nègre des bois
Hemipenthes maura,L'Anthracine maura
Temnostoma vespiforme,La Milésie vespiforme
Erebia,Les Moirés à bande blanche
Leptura aurulenta,La Lepture couleur d'or (à antennes noires)
Coptocephala,Les Coptocéphales
Aricia nicias,L'Azuré des Géraniums
Prionyx kirbii,"Le Sphégien à abdomen orange, noir et blanc"
Pyrochroa coccinea,Le Cardinal à tête noire
Camptogramma bilineata,La Brocatelle d'or
"Atylotus, Silvius",Les Taons clairs
Chlorophorus trifasciatus,Le Clyte à 3 bandes
Erebia,Les Moirés à dessous marbré
Hesperia comma,La Virgule
Euclidia mi,Le M noir
Anasimyia,Les Syrphes Anasimyia
Micropterix,Les Micropterix
Colpa sexmaculata,La Scolie Colpa (mâle)
Milesia crabroniformis,La Milésie frelon
Colpa sexmaculata,La Scolie Colpa (femelle)
Callimus angulatus,Le Capricorne Callimus
Tiphia femorata,La Tiphide aux pattes rouges
Toxophora,Les Toxophores
Euplagia quadripunctaria,L'Ecaille chinée
Hemipenthes velutina,L'Anthracine velutina
Oecanthus pellucens,Le Grillon d'Italie
Volucella inanis,La Volucelle vide
Polyommatus,Les Sablés
Parnassius,Les Apollons
Oxycera,Les Oxycères
Cupido argiades,L'Azuré du Trèfle
Pleuroptya ruralis,La Pyrale du Houblon
Idaea aureolaria,L'Acidalie double-ceinture
Vespula rufa,La Guêpe rousse
"Lampides, Leptotes",Les Azurés migrateurs
Lycaena virgaureae,Le Cuivré de la Verge d'or (femelle)
Baccha elongata,La Baccha allongée
Malachius et autres,Les Malachides rouges
Andrena marginata,L'Andrène marginée
Stenopterus,Les Sténoptères noirs
Nymphalis antiopa,Le Morio
Lepturobosca virens,La Lepture verdâtre
Heriaeus,Les Araignées crabes velues
Colletes hederae,La Collète du Lierre
Abia fasciata,L'Abia fasciata
Thecla betulae,Le Thécla du Bouleau
Satyrium spini,Le Thécla des Nerpruns
Anthidium punctatum,L'Anthidie à points
Mutillidae,Les Mutilles (femelles)
