Unknown
Crepidodera aurata
Peribalus strictus vernalis
Smerinthus ocellata
Megoura viciae
Scymnini
Scythris scopolella
"Sphinx maurorum, Sphinx pinastri"
Eumenes coronatus
Phthiria minuta
Limenitis camilla
Cantharis flavilabris
Ceriana conopsoides
Physocephala rufipes
Anthrax trifasciatus
Ischnomera
Eupteryx atropunctata
Anthrax anthrax
Graphomya maculata
Hyles livornica
Volucella bombylans var. plumata
Myolepta potens
Pseudoamblyteles homocerus
Zanthojoppa lutea
Elomya lateralis
Callicera aurata
Meloe violaceus
Brachypalpus valgus
Meloe proscarabaeus
Tachina lurida
Tropidia fasciata
Incurvaria masculella
Melolontha melolontha
Melanogaster nuda
Prasocuris junci
Molobratia teutonus
Cantharis lateralis
Glyphipterix thrasonella
Stenocorus meridianus
Dermestes murinus
Heteropterus morpheus
Ortochile nigrocoerulea
Chrysocrambus linetella
Chorthippus parallelus
Axinotarsus marginalis
Coleophora trifolii
Pyropteron chrysidiforme
Labidostomis longimana
Leptophyes punctatissima
Anarta myrtilli
Heliozela
Ontholestes murinus
Geocoris erythrocephalus
Loxocera albiseta
Celypha lacunana
Obrium brunneum
Pyrausta despicata
Prochoreutis myllerana
Choreutis nemorana
Netelia
Acleris
Ceutorhynchus pallidactylus
Empis chioptera
Mesopolobus tibialis
Tachina ursina
Elasmus
Deraeocoris lutescens
Sitona humeralis
Phytomyza gymnostoma
Phaonia subventa
Empis decora
Platypalpus maculipes
Penthimia nigra
Calameuta filiformis
Cantharis nigra
Athous bicolor
Heterocordylus tibialis
Dalmannia dorsalis
Cyaniris semiargus
Drilus flavescens
Brachypalpoides lentus
Macroglenes
Tachycixius venustulus
Nysius huttoni
Phytometra viridaria
Plebejus argus
Pancalia leuwenhoekella
Miris striatus
Cupido minimus
Heterogynis penella
Platyplax salviae
Cupido osiris
Boloria euphrosyne
Hycleus polymorphus
Phyllopertha horticola
Tropinota squalida
Polyommatus amandus
Satyrium ilicis
Cryptocephalus loreyi
Dasycera oliviella
Deraeocoris schach
